Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Mike Williams,3,1,0,0,0,3,0,0,0
Jordan Addison,2,1,0,0,0,2,0,0,0
Joe Flacco,2,9,0,0,0,3,3,33.3,1
Kylen Granson,2,1,0,0,0,2,1,100,0
Amani Hooker,2,1,0,0,0,2,1,100,0
George Kittle,2,1,0,0,0,2,1,100,0
Cole Kmet,2,3,0,0,0,1,2,66.7,0
James Robinson,2,1,0,0,0,2,0,0,0
Logan Thomas,2,1,0,0,0,2,1,100,0
Zeke Turner,2,1,0,0,0,2,1,100,0
Jashaun Corbin,1,1,0,0,0,1,1,100,0
Dallas Goedert,1,1,0,0,0,1,0,0,0
Noah Gray,1,1,0,0,0,1,0,0,0
Evan Hull,1,1,0,0,0,1,0,0,0
Case Keenum,1,2,0,0,0,1,0,0,1
Steven Sims,1,1,0,0,0,1,0,0,0
Dontayvion Wicks,1,1,0,0,0,1,0,0,0
Mark Andrews,0,1,0,0,0,0,0,0,0
Dyami Brown,0,1,0,0,0,0,0,0,0
Jason Cabinda,0,1,0,0,0,0,0,0,0
AJ Cole,0,0,0,0,0,0,0,0,0
Tyler Conklin,0,1,0,0,0,0,0,0,0
Riley Dixon,0,0,0,0,0,0,0,0,0
Kenyan Drake,0,2,0,0,0,0,0,0,0
Deonte Harty,0,4,0,0,0,4,0,0,0
Peyton Hendershot,0,1,0,0,0,0,0,0,0
Connor Heyward,0,1,0,0,0,0,0,0,0
KhaDarel Hodge,0,1,0,0,0,0,0,0,1
Alec Ingold,0,2,0,0,0,0,0,0,0
Rakim Jarrett,0,1,0,0,0,0,0,0,0
Nick Niemann,0,1,0,0,0,0,0,0,1
Jonnu Smith,0,1,0,0,0,0,0,0,0
Tress Way,0,1,0,0,0,0,0,0,0
Garrett Wilson,0,4,0,0,0,6,1,25,0
Ty Zentner,0,1,0,0,0,0,0,0,1
Noah Brown,-1,1,0,0,0,-1,0,0,0
Kyle Trask,-1,1,0,0,0,-1,0,0,0
Jamal Agnew,-2,4,0,0,0,1,0,0,0
Teddy Bridgewater,-2,2,0,0,0,-1,0,0,0
Sean Clifford,-2,3,0,0,0,0,0,0,1
Gabe Davis,-2,1,0,0,0,-2,0,0,0
Trent Taylor,-2,1,0,0,0,-2,0,0,0
Jonathan Williams,-2,1,0,0,0,-2,0,0,0
Matt Barkley,-3,3,0,0,0,-1,0,0,0
Brian Hoyer,-3,3,0,0,0,-1,0,0,0
Cooper Kupp,-3,1,0,0,0,-3,0,0,0
Rashee Rice,-3,1,0,0,0,-3,0,0,0
